iter,phase,running_train_loss,val_stSNR_mean,val_stSNR_per_stack,val_stPSNR_mean,val_stSI_PSNR_mean,is_best,elapsed_sec
500,warmup,0.063702,13.0965,F0:23.7542;F1:19.7830;F2:9.4083;F3:-0.5597,16.7313,-6.2323,1,680.2
1000,warmup,0.044904,12.8857,F0:21.8154;F1:21.3608;F2:8.7914;F3:-0.4248,16.5205,-5.7123,0,1359.9
1500,warmup,0.042150,12.7478,F0:20.3877;F1:21.6435;F2:11.3714;F3:-2.4116,16.3825,-5.2241,0,2036.4
2000,warmup,0.040009,11.8704,F0:18.0452;F1:21.8218;F2:10.1700;F3:-2.5552,15.5052,-5.0907,0,2713.9
2500,n2v,0.176342,12.9586,F0:20.9170;F1:22.7933;F2:11.4431;F3:-3.3191,16.5933,-5.2224,0,3390.4
3000,n2v,0.175992,12.7957,F0:20.6999;F1:22.5269;F2:11.5051;F3:-3.5492,16.4305,-5.1639,0,4066.7
3500,n2v,0.174847,13.0568,F0:21.6508;F1:22.8446;F2:11.1984;F3:-3.4667,16.6916,-5.2799,0,4742.4
4000,n2v,0.177122,13.0490,F0:20.7146;F1:23.1077;F2:11.9244;F3:-3.5510,16.6837,-4.9710,0,5426.8
4500,n2v,0.176908,12.8067,F0:20.6925;F1:22.4983;F2:11.2755;F3:-3.2395,16.4415,-5.2462,0,6099.3
5000,n2v,0.176076,12.6383,F0:19.6803;F1:22.7604;F2:11.5085;F3:-3.3959,16.2731,-5.0027,0,6772.5
5500,n2v,0.174554,13.2039,F0:20.7789;F1:23.0281;F2:12.1515;F3:-3.1431,16.8386,-5.0124,1,7446.4
6000,n2v,0.177212,12.6274,F0:20.2047;F1:22.7589;F2:10.7512;F3:-3.2053,16.2622,-5.1705,0,8119.8
6500,n2v,0.175433,13.1112,F0:21.4848;F1:23.1398;F2:11.1458;F3:-3.3256,16.7460,-5.2892,0,8793.2
7000,n2v,0.176808,12.4510,F0:19.9593;F1:22.8070;F2:10.4003;F3:-3.3628,16.0858,-5.2480,0,9465.8
7500,n2v,0.175269,12.7396,F0:21.2522;F1:22.8781;F2:10.2216;F3:-3.3935,16.3744,-5.1850,0,10139.3
8000,n2v,0.177205,12.6616,F0:20.2610;F1:22.4352;F2:11.1097;F3:-3.1594,16.2964,-5.0967,0,10812.6
8500,n2v,0.175668,13.1648,F0:20.3302;F1:23.3150;F2:11.9816;F3:-2.9676,16.7996,-5.0590,0,11487.7
9000,n2v,0.177238,13.0124,F0:20.3273;F1:23.0525;F2:11.7802;F3:-3.1105,16.6471,-5.1442,0,12160.8
9500,n2v,0.176676,12.1751,F0:19.4769;F1:21.5923;F2:10.8172;F3:-3.1861,15.8099,-4.7771,0,12834.1
10000,n2v,0.176090,13.3117,F0:20.6395;F1:22.9938;F2:12.4518;F3:-2.8382,16.9465,-5.1322,1,13508.0
10500,n2v,0.176493,13.1122,F0:20.8792;F1:23.4210;F2:11.1435;F3:-2.9951,16.7470,-5.0565,0,14180.3
11000,n2v,0.175215,12.6448,F0:20.3505;F1:22.4946;F2:11.0228;F3:-3.2886,16.2796,-5.2421,0,14853.3
